defaulted,loanid,username,loanapplicationstarteddate,languagecode,age,gender,country,appliedamount,interest,loanduration,education,maritalstatus,nrofdependants,employmentstatus,employmentdurationcurrentemployer,workexperience,occupationarea,homeownershiptype,incometotal,incomefromsalary,incomefromothers,existingliabilities,liabilitiestotal,debttoincome,noofearlierdefaults,noofpreviousloansbeforeloan,amountofpreviousloansbeforeloan,priorrepayments,previousearlyrepaymentsbeforeloan,previousearlyrepaymentscountbeforeloan
1,87298374-64B9-4A78-8FE7-AB1800D603CE,BO6521932,2019-12-03 12:59:00,1,39,0,EE,6485.0,31.76,60,4,-1,,-1,UpTo5Years,,-1,3,540.0,0.0,0.0,1,66.42,0.0,0,3,3395.0,2397.4,,0
1,ACC81251-7C9F-4CBA-82BF-AB1800D6A070,BO96514A5,2019-12-03 13:01:00,4,18,0,FI,518.0,36.51,60,1,-1,,-1,UpTo1Year,,-1,3,1400.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,,0
0,0C01A2FF-41FE-48AA-9A44-AB1800D7AA0D,BO796K162,2019-12-03 13:05:00,6,42,2,ES,2126.0,72.81,60,5,-1,,-1,UpTo5Years,,-1,2,1600.0,0.0,0.0,1,600.0,0.0,0,0,0.0,0.0,,0
0,4D7BFA72-DD8E-425D-8F4A-AB1800D7CFE7,BO2K37562,2019-12-03 13:05:00,6,45,0,ES,2126.0,72.84,60,5,-1,,-1,UpTo1Year,,-1,3,1600.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,,0
1,E0954F1A-6D02-47CF-A120-AB1800D85FCA,BO1779612,2019-12-03 13:07:00,6,60,0,ES,2126.0,72.76,60,4,-1,,-1,MoreThan5Years,,-1,10,1300.0,0.0,0.0,1,400.0,0.0,0,0,0.0,0.0,,0
0,89462856-2543-4443-ACAA-AB1800DC470B,BO2444914,2019-12-03 13:22:00,4,60,1,FI,518.0,39.69,36,3,-1,,-1,Other,,-1,3,520.0,0.0,0.0,1,23.02,0.0,0,1,518.0,43.16,,0
0,BE4556CD-CCCF-495A-86EC-AB1800DDCDBB,BOK161412,2019-12-03 13:27:00,1,34,0,EE,1488.0,8.97,30,3,-1,,-1,Other,,-1,1,1200.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,,0
0,CC6B5382-455E-438F-86A7-AB1800DDFB61,BO56243K2,2019-12-03 13:28:00,4,64,1,FI,3113.0,36.42,60,3,-1,,-1,Retiree,,-1,3,950.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,,0
1,18346FE3-D4ED-4164-BA73-AB1800DE9123,BO932K752,2019-12-03 13:30:00,6,55,2,ES,3189.0,54.05,36,5,-1,,-1,MoreThan5Years,,-1,1,2000.0,0.0,0.0,2,305.48,0.0,0,2,6378.0,782.6800000000002,,0
0,60811677-10BA-40D7-ABF3-AB1800DF0D39,BOK34A314,2019-12-03 13:32:00,6,37,2,ES,2126.0,72.8,60,5,-1,,-1,Other,,-1,10,1800.0,0.0,0.0,1,105.87,0.0,0,0,0.0,0.0,,0
