Column Index,Column Name,Type of Variable,"Values (range, levels, examples, etc)",Short Description,Joining Keys with Other data set
1,ActiveLateCategory,STRING,180+,When a loan is in Principal Debt then it will be categorized by Principal Debt days,
2,ActiveLateLastPaymentCategory,TIMESTAMP,Aug-15,Shows how many days has passed since last payment and categorised if it is overdue,
3,ActiveScheduleFirstPaymentReached,BOOLEAN,TRUE,Whether the first payment date has been reached according to the active schedule,
4,Age,INT,53,The age of the borrower when signing the loan application,
5,Amount,INT,2125,Amount the borrower received on the Primary Market. This is the principal balance of your purchase from Secondary Market,
6,AmountOfPreviousLoansBeforeLoan,INT,500,Value of previous loans,
7,ApplicationSignedHour,INT,17,#N/A,
8,ApplicationSignedWeekday,INT,4,#N/A,
9,AppliedAmount,INT,2125,The amount borrower applied for originally,
10,BiddingStartedOn,TIMESTAMP,23/03/2016 16:07,#N/A,
11,BidsApi,INT,1150,The amount of investment offers made via Api,
12,BidsManual,FLOAT,5,The amount of investment offers made manually,
13,BidsPortfolioManager,INT,970,The amount of investment offers made by Portfolio Managers,
14,City,STRING,NaN,City of the borrower,
15,ContractEndDate,TIMESTAMP,26/06/2020,The date when the loan contract ended,
16,Country,STRING,EE,Residency of the borrower,
17,County,STRING,NaN,County of the borrower,
18,CreditScoreEeMini,INT,1000,1000 No previous payments problems 900 Payments problems finished 24-36 months ago 800 Payments problems finished 12-24 months ago 700 Payments problems finished 6-12 months ago 600 Payment problems finished < 6 months ago 500 Active payment problems,
19,CreditScoreEsEquifaxRisk,STRING,NaN,"Generic score for the loan applicants that do not have active past due operations in ASNEF; a measure of the probability of default one year ahead; the score is given on a 6-grade scale: AAA (“Very low”), AA (“Low”), A (“Average”), B (“Average High”), C (“High”), D (“Very High”).",
20,CreditScoreEsMicroL,STRING,NaN,"A score that is specifically designed for risk classifying subprime borrowers (defined by Equifax as borrowers that do not have access to bank loans); a measure of the probability of default one month ahead; the score is given on a 10-grade scale, from the best score to the worst: M1, M2, M3, M4, M5, M6, M7, M8, M9, M10.",
